X1,X2,X3,X4,X5,X6
2,0.83982,-0.5,-0.5,0.24869,4.9942
4,0.83961,-0.5,-0.5,0.16213,9.0835
6,0.83996,-0.5,-0.5,0.10164,18.038
8,0.83797,-0.5,-0.5,0.078605,25.09
10,0.83704,-0.5,-0.5,0.058282,52.63
12,0.83668,-0.5,-0.5,0.049998,52.435
14,0.83929,-0.5,-0.5,0.04236,108.06
2,0.84992,-0.5,-0.5,0.23223,5.6016
4,0.84979,-0.5,-0.5,0.15143,11.142
6,0.84993,-0.5,-0.5,0.096218,20.445
8,0.8491,-0.5,-0.5,0.073561,39.181
10,0.8487,-0.5,-0.5,0.053581,45.111
12,0.84735,-0.5,-0.5,0.045591,59.189
14,0.8446,-0.5,-0.5,0.041345,91.984
2,0.85989,-0.5,-0.5,0.21862,6.0199
4,0.85943,-0.5,-0.5,0.14294,12.389
6,0.85913,-0.5,-0.5,0.089601,22.883
8,0.85791,-0.5,-0.5,0.069014,50.526
10,0.85812,-0.5,-0.5,0.051215,55.873
12,0.85567,-0.5,-0.5,0.042769,80.158
14,0.85772,-0.5,-0.5,0.037653,89.2
2,0.86989,-0.5,-0.5,0.20357,6.9743
4,0.86955,-0.5,-0.5,0.13291,14.29
6,0.86928,-0.5,-0.5,0.083972,29.659
8,0.86914,-0.5,-0.5,0.063367,48.383
10,0.86949,-0.5,-0.5,0.04671,64.442
12,0.86954,-0.5,-0.5,0.03888,98.59
14,0.86461,-0.5,-0.5,0.036717,119.09
2,0.87996,-0.5,-0.5,0.18737,8.1003
4,0.87973,-0.5,-0.5,0.12164,17.711
6,0.87963,-0.5,-0.5,0.077891,32.383
8,0.87925,-0.5,-0.5,0.058926,55.228
10,0.87865,-0.5,-0.5,0.043234,81.411
12,0.87696,-0.5,-0.5,0.03739,85.017
14,0.87994,-0.5,-0.5,0.031843,191.52
2,0.88979,-0.5,-0.5,0.17285,9.7037
4,0.88975,-0.5,-0.5,0.11279,22.111
6,0.88935,-0.5,-0.5,0.070727,38.424
8,0.88903,-0.5,-0.5,0.054224,67.737
10,0.88652,-0.5,-0.5,0.039652,97.331
12,0.88634,-0.5,-0.5,0.034496,133.8
14,0.88746,-0.5,-0.5,0.029987,243.48
2,0.89998,-0.5,-0.5,0.15805,10.678
4,0.89968,-0.5,-0.5,0.10179,22.932
6,0.8998,-0.5,-0.5,0.064192,46.686
8,0.89861,-0.5,-0.5,0.049576,66.773
10,0.89809,-0.5,-0.5,0.036904,111.85
12,0.89907,-0.5,-0.5,0.030989,135.29
14,0.8947,-0.5,-0.5,0.02805,170
2,0.9098,-0.5,-0.5,0.14273,12.604
4,0.9098,-0.5,-0.5,0.091879,29.544
6,0.90911,-0.5,-0.5,0.058185,59.394
8,0.90818,-0.5,-0.5,0.045308,68.794
10,0.90973,-0.5,-0.5,0.032395,130.47
12,0.90881,-0.5,-0.5,0.028007,218.14
14,0.90623,-0.5,-0.5,0.025175,204.8
